"time","P_elec","P_in","Q","Q_0","Q_max","SOC","V","V_max","V_min","der(Q)","i_in","i_out"
4.9,80,59.832460057065894,37.49720407635208,37.5,75,49.99627210180277,23.99985088407211,26,22,-2.3342205148077513e-4,2.4930346586767618,3.333354044007552
5,80,60.876142900872054,37.49718018872601,37.5,75,49.99624025163468,23.999849610065386,26,22,-2.2134232563305922e-4,2.536521848676126,3.333354220955139
5.1,80,61.90939493098339,37.49715728782091,37.5,75,49.996209717094544,23.99984838868378,26,22,-2.0938332581701906e-4,2.579574417652339,3.3333543905936076
5.2,80,62.93203910498374,37.497135574748455,37.5,75,49.99618076633127,23.999847230653252,26,22,-1.9754710115655092e-4,2.6221849872696374,3.333354551433221
5.3,80,63.943900198058465,37.49711504950866,37.5,75,49.99615339934488,23.999846135973794,26,22,-1.8583567984114388e-4,2.6643462560458593,3.333354703473977
5.4,80,64.94480483301837,37.49709571210151,37.5,75,49.99612761613535,23.999845104645413,26,22,-1.7425106867399867e-4,2.7060509994894777,3.333354846715873
5.5,80,65.93458151000688,37.49707756252702,37.5,75,49.996103416702695,23.99984413666811,26,22,-1.6279525272813584e-4,2.7472920713376165,3.3333549811589056
5.6,80,66.91306063588581,37.49706060078517,37.5,75,49.996080801046894,23.999843232041876,26,22,-1.51470195006223e-4,2.788062404780672,3.333355106803075
5.7,80,67.88007455329416,37.497044826875985,37.5,75,49.996059769167985,23.99984239076672,26,22,-1.4027783610418677e-4,2.828355013673305,3.333355223648377
5.8,80,68.8354575693754,37.497030240799454,37.5,75,49.99604032106594,23.999841612842637,26,22,-1.2922009387866486e-4,2.8681629937316178,3.3333553316948112
5.9,80,69.77904598416801,37.497016842555574,37.5,75,49.99602245674076,23.999840898269632,26,22,-1.1829886311835359e-4,2.907479523716302,3.3333554309423747
6,80,70.71067811865476,37.497004632144346,37.5,75,49.99600617619246,23.999840247047697,26,22,-1.0751601521930912e-4,2.9462978666015545,3.3333555213910673
6.1,80,71.63019434246542,37.49699360956577,37.5,75,49.99599147942103,23.999839659176843,26,22,-9.687339786425775e-5,2.9846113707295583,3.333355603040886
6.2,80,72.53743710122875,37.49698377481985,37.5,75,49.99597836642647,23.99983913465706,26,22,-8.637283470596853e-5,3.0224134709503443,3.333355675891831
6.3,80,73.43225094356855,37.49697512790658,37.5,75,49.99596683720877,23.99983867348835,26,22,-7.60161250547463e-5,3.0596976897468138,3.3333557399439004
6.4,80,74.31448254773942,37.49696766882597,37.5,75,49.99595689176795,23.99983827567072,26,22,-6.580504357009385e-5,3.0964576383447553,3.333355795197093
6.5,80,75.18398074789772,37.496961397578005,37.5,75,49.99594853010401,23.99983794120416,26,22,-5.5741339956599926e-5,3.132687017807649,3.3333558416514086
6.6,80,76.04059656000308,37.49695546045017,37.5,75,49.995940613933556,23.999837624557344,26,22,-4.582673875104261e-5,3.168379626126974,3.3333558856307275
6.7,80,76.88418320734594,37.49694956929376,37.5,75,49.99593275905835,23.999837310362334,26,22,-3.6062938820524076e-5,3.2035293495156276,3.3333559292695143
6.8,80,77.71459614569707,37.49694464804125,37.5,75,49.995926197388336,23.999837047895532,26,22,-2.6451613096627345e-5,3.238130158575873,3.3333559657237313
6.9,80,78.53169308807449,37.49694069669262,37.5,75,49.995920928923496,23.99983683715694,26,22,-1.6994408497767764e-5,3.272176124401414,3.333355994993378
7,80,79.33533402912352,37.496937715247874,37.5,75,49.99591695366383,23.999836678146554,26,22,-7.692945532529318e-6,3.305661413161349,3.3333560170784544
7.1,80,80.12538126910606,37.49693570370701,37.5,75,49.99591427160935,23.999836570864375,26,22,1.4511819780271828e-6,3.338580287099858,3.33335603197896
7.2,80,80.90169943749474,37.496934662070025,37.5,75,49.99591288276004,23.999836515310403,26,22,1.0436407173481192e-5,3.370927105519427,3.3333560396948947
7.3,80,81.6641555161679,37.496934590336934,37.5,75,49.99591278711591,23.999836511484638,26,22,1.9261190422548888e-5,3.402696325747434,3.333356040226258
7.4,80,82.41261886220155,37.49693548850772,37.5,75,49.99591398467695,23.999836559387077,26,22,2.792401958691558e-5,3.433882504085947,3.3333560335730508
7.5,80,83.14696123025452,37.49693735658239,37.5,75,49.995916475443195,23.999836659017728,26,22,3.642341028035561e-5,3.464480296744552,3.333356019735272
7.6,80,83.86705679454239,37.49694019456094,37.5,75,49.99592025941459,23.999836810376582,26,22,4.4757906123095406e-5,3.494484460756066,3.3333559987129227
7.7,80,84.57278217039732,37.496944002443385,37.5,75,49.99592533659118,23.999837013463647,26,22,5.292607899137942e-5,3.5238898548749686,3.3333559705060027
7.8,80,85.26401643540922,37.4969487802297,37.5,75,49.99593170697293,23.999837268278917,26,22,6.092652926219324e-5,3.5526914404584082,3.3333559351145126
7.9,80,85.94064115014527,37.49695452791991,37.5,75,49.99593937055988,23.999837574822394,26,22,6.875788605310116e-5,3.580884282329617,3.333355892538453
8,80,86.60254037844386,37.496961245514,37.5,75,49.995948327352004,23.99983793309408,26,22,7.641880745716096e-5,3.608463549623603,3.3333558427778236
8.1,80,87.2496007072797,37.49696893301197,37.5,75,49.99595857734929,23.999838343093973,26,22,8.390798077287178e-5,3.6354245166149646,3.333355785832626
8.2,80,87.88171126619653,37.49697749480353,37.5,75,49.99596999307138,23.999838799722855,26,22,9.122412274850074e-5,3.6617625643056972,3.3333557224110946
