"time","P_elec","P_in","Q","Q_0","Q_max","SOC","V","V_max","V_min","der(Q)","i_in","i_out"
2.304,40,29.704158157703485,37.499329941611876,37.5,75,49.999106588815835,23.999964263552634,26,22,-1.1916501357661763e-4,1.2376750994922723,1.6666691483680958
2.4,40,30.901699437494734,37.49931884043852,37.5,75,49.99909178725136,23.999963671490054,26,22,-1.0530456405687165e-4,1.287572758878938,1.666669189483676
2.496,40,32.09436098072095,37.499309073647,37.5,75,49.999078764862666,23.999963150594507,26,22,-9.150059210129359e-5,1.3372670940924314,1.6666692256570883
2.592,40,33.28195445229866,37.49930064123731,37.5,75,49.99906752164975,23.99996270086599,26,22,-7.775527764395385e-5,1.386750257370098,1.666669256888332
2.688,40,34.46429231745171,37.49929354320945,37.5,75,49.999058057612594,23.999962322304505,26,22,-6.407079135522514e-5,1.4360144342985954,1.666669283177406
2.784,40,35.641187871325066,37.499287779563424,37.5,75,49.99905037275123,23.99996201491005,26,22,-5.0449294298963784e-5,1.4850518450480408,1.6666693045243104
2.88,40,36.812455268467794,37.49928335029923,37.5,75,49.99904446706564,23.999961778682625,26,22,-3.68929375912065e-5,1.5338547456007015,1.6666693209290449
2.976,40,37.97790955218011,37.49928025541687,37.5,75,49.99904034055583,23.999961613622233,26,22,-2.340386206044049e-5,1.5824154289740229,1.6666693323916086
3.072,40,39.13736668372024,37.49927849491634,37.5,75,49.99903799322178,23.99996151972887,26,22,-9.98419790949624e-6,1.6307262264378153,1.6666693389120018
3.168,40,40.29064357136626,37.49927791989248,37.5,75,49.9990372265233,23.999961489060933,26,22,3.3639356219932067e-6,1.6787795092809021,1.6666693410417266
3.264,40,41.437558099328406,37.49927814165734,37.5,75,49.99903752220979,23.999961500888393,26,22,1.663843061761199e-5,1.7265676904437757,1.6666693402203725
3.36,40,42.57792915650726,37.49927962088547,37.5,75,49.99903949451396,23.999961579780557,26,22,2.9837190779772686e-5,1.7740832215489142,1.6666693347417325
3.456,40,43.71157666509328,37.499282357576845,37.5,75,49.9990431434358,23.999961725737432,26,22,4.2958131761345085e-5,1.8213185989466483,1.666669324605806
3.552,40,44.838321609003216,37.499286351731485,37.5,75,49.99904846897531,23.99996193875901,26,22,5.599918150506077e-5,1.8682663632308125,1.6666693098125938
3.648,40,45.957986062148784,37.499291603349384,37.5,75,49.999055471132515,23.9999622188453,26,22,6.895828057075535e-5,1.9149191004168147,1.6666692903620954
3.744,40,47.070393216533255,37.49929811243054,37.5,75,49.99906414990738,23.999962565996295,26,22,8.183338246061766e-5,1.9612694431125355,1.6666692662543119
3.84,40,48.17536741017152,37.49930587897495,37.5,75,49.99907450529994,23.999962980211997,26,22,9.462245394239565e-5,2.007310071681868,1.6666692374892436
3.936,40,49.27273415482915,37.499314902982626,37.5,75,49.99908653731017,23.999963461492406,26,22,1.0732347537050675e-4,2.0530337154007148,1.6666692040668905
4.032,40,50.36232016357608,37.499325184453554,37.5,75,49.999100245938074,23.999964009837523,26,22,1.1993444100500165e-4,2.098433153605259,1.6666691659872532
4.128,40,51.44395337815064,37.49933672338775,37.5,75,49.99911563118366,23.999964625247348,26,22,1.324533593283334e-4,2.143501216832333,1.6666691232503328
4.224,40,52.517462996129574,37.49934951978519,37.5,75,49.999132693046924,23.999965307721876,26,22,1.44878253359879e-4,2.1882307879516945,1.66666907585613
4.32,40,53.58267949789967,37.49936357364591,37.5,75,49.99915143152788,23.999966057261116,26,22,1.5720716096816528e-4,2.23261480329004,1.666669023804645
4.416,40,54.63943467342691,37.49937888496987,37.5,75,49.999171846626496,23.99996687386506,26,22,1.694381351807502e-4,2.27664625374658,1.6666689670958794
4.512,40,55.68756164881879,37.499395453757096,37.5,75,49.99919393834279,23.99996775753371,26,22,1.8156924449170924e-4,2.320318185899987,1.6666689057298336
4.608,40,56.72689491267564,37.49941328000757,37.5,75,49.99921770667676,23.99996870826707,26,22,1.9359857316667925e-4,2.3636237031065543,1.666668839706509
4.704,40,57.757270342226754,37.49943236372132,37.5,75,49.99924315162843,23.99996972606514,26,22,2.055242215454118e-4,2.4065559665893885,1.666668769025906
4.8,40,58.7785252292473,37.49945168003807,37.5,75,49.999268906717425,23.9999707562687,26,22,2.1734430683678166e-4,2.449108202096229,1.666668697483815
4.896,40,59.79049830575188,37.49947194202139,37.5,75,49.99929592269518,23.999971836907807,26,22,2.290569621432906e-4,2.491273686155099,1.6666686224392528
4.992,40,60.79302976946054,37.49949332137186,37.5,75,49.99932442849581,23.999972977139834,26,22,2.4066033774827424e-4,2.5330457591500783,1.666668543256291
5.088,40,61.78596130903343,37.49951581808948,37.5,75,49.9993544241193,23.999974176964773,26,22,2.5215260127172746e-4,2.57441782451315,1.6666684599349313
5.184,40,62.76913612907005,37.49953943217425,37.5,75,49.99938590956567,23.999975436382627,26,22,2.6353193788126994e-4,2.6153833488477463,1.6666683724751745
5.28,40,63.74239897486896,37.49956416362618,37.5,75,49.99941888483491,23.999976755393398,26,22,2.747965505787584e-4,2.6559358629605523,1.666668280877022
5.376,40,64.70559615694442,37.49959001244526,37.5,75,49.999453349927016,23.999978133997082,26,22,2.8594466048408366e-4,2.696068962883176,1.666668185140475
5.472,40,65.65857557529564,37.499616978631494,37.5,75,49.999489304841994,23.99997957219368,26,22,2.9697450711610424e-4,2.7357763108835105,1.6666680852655351
5.568,40,66.60118674342515,37.49964506218489,37.5,75,49.99952674957985,23.999981069983193,26,22,3.078843486706756e-4,2.775051636466636,1.666667981252204
5.664,40,67.53328081210243,37.49967426310542,37.5,75,49.999565684140556,23.999982627365622,26,22,3.186724622957298e-4,2.8138887373651102,1.666667873100483
5.76,40,68.45471059286886,37.49970458139312,37.5,75,49.999606108524155,23.999984244340965,26,22,3.2933714436336086e-4,2.8522814805184726,1.6666677608103735
5.856,40,69.36533058128049,37.499736017047965,37.5,75,49.99964802273062,23.999985920909225,26,22,3.398767107388741e-4,2.890223803041824,1.6666676443818773
5.952,40,70.26499697988491,37.49976857006996,37.5,75,49.999691426759945,23.9999876570704,26,22,3.502894970467579e-4,2.927709713183325,1.6666675238149964
