"time","P_elec","P_in","Q","Q_0","Q_max","SOC","V","V_max","V_min","der(Q)","i_in","i_out"
4.8,120,58.7785252292473,37.4950072102013,37.5,75,49.993342946935066,23.9997337178774,26,22,-7.085897457866472e-4,2.44913239122579,5.00005547605772
4.896,120,59.79049830575188,37.49493858259384,37.5,75,49.993251443458455,23.99973005773834,26,22,-6.968770707628405e-4,2.491298783857503,5.000056238603729
4.992,120,60.79302976946054,37.49487107235417,37.5,75,49.99316142980556,23.99972645719222,26,22,-6.852736696365826e-4,2.533071778042792,5.00005698873449
5.088,120,61.78596130903343,37.494804679482314,37.5,75,49.99307290597642,23.999722916239058,26,22,-6.737813748718197e-4,2.57444477691144,5.000057726449991
5.184,120,62.76913612907005,37.494739403978244,37.5,75,49.992985871970994,23.99971943487884,26,22,-6.624020013861335e-4,2.6154112467601407,5.000058451750221
5.28,120,63.74239897486896,37.49467524584199,37.5,75,49.99290032778932,23.999716013111573,26,22,-6.511373462641099e-4,2.655964718084376,5.0000591646351715
5.376,120,64.70559615694442,37.49461220507353,37.5,75,49.99281627343137,23.999712650937255,26,22,-6.399891884735195e-4,2.6960987866001593,5.00005986510483
5.472,120,65.65857557529564,37.49455028167287,37.5,75,49.99273370889716,23.999709348355886,26,22,-6.289592885843642e-4,2.7358071142554743,5.0000605531591855
5.568,120,66.60118674342515,37.494489475640016,37.5,75,49.99265263418669,23.99970610536747,26,22,-6.180493884908258e-4,2.775083430231255,5.000061228798228
5.664,120,67.53328081210243,37.49442978697497,37.5,75,49.99257304929996,23.999702921972,26,22,-6.072612111361652e-4,2.813921531931754,5.000061892021948
5.76,120,68.45471059286886,37.49437121567772,37.5,75,49.99249495423695,23.999699798169477,26,22,-5.965964602406151e-4,2.8523152859641225,5.000062542830337
5.856,120,69.36533058128049,37.494313761748266,37.5,75,49.99241834899769,23.999696733959908,26,22,-5.86056820032308e-4,2.890258629107074,5.000063181223383
5.952,120,70.26499697988491,37.49425742518662,37.5,75,49.99234323358216,23.999693729343285,26,22,-5.756439549812816e-4,2.927745569268463,5.000063807201077
6.048,120,71.15356772092854,37.49420220599277,37.5,75,49.992269607990366,23.999690784319615,26,22,-5.653595095366078e-4,2.964770186431622,5.00006442076341
6.144,120,72.03090248879069,37.49414810416673,37.5,75,49.99219747222231,23.999687898888894,26,22,-5.552051078666795e-4,3.001326633590326,5.000065021910372
6.24,120,72.89686274214114,37.49409511970848,37.5,75,49.992126826277975,23.99968507305112,26,22,-5.451823536027036e-4,3.0374091376722236,5.000065610641957
6.336,120,73.75131173581738,37.49404252091749,37.5,75,49.99205669455665,23.999682267782266,26,22,-5.352928304558332e-4,3.073012005447375,5.000066195088374
6.432,120,74.59411454241821,37.49399006082705,37.5,75,49.9919867477694,23.999679469910777,26,22,-5.25538100467234e-4,3.108129616311727,5.000066777993769
6.528,120,75.42513807361037,37.49393853132187,37.5,75,49.99191804176249,23.9996767216705,26,22,-5.159197031801494e-4,3.1427564191106487,5.000067350559187
6.624,120,76.24425110114478,37.49388793240194,37.5,75,49.99185057653592,23.999674023061438,26,22,-5.064391575671917e-4,3.176886945542727,5.000067912784617
6.72,120,77.05132427757891,37.49383826406726,37.5,75,49.991784352089674,23.999671374083587,26,22,-4.970979608310606e-4,3.210515805678238,5.000068464670056
6.816,120,77.84623015670233,37.49378952631783,37.5,75,49.99171936842377,23.99966877473695,26,22,-4.87897588168088e-4,3.243637688810377,5.000069006215494
6.912,120,78.62884321366188,37.49374171915366,37.5,75,49.991655625538215,23.999666225021528,26,22,-4.7883949253526436e-4,3.276247364293974,5.000069537420925
7.008,120,79.39903986478353,37.49369484257475,37.5,75,49.991593123433,23.99966372493732,26,22,-4.6992510442077156e-4,3.308339682371566,5.000070058286344
7.104,120,80.15669848708765,37.49364889658108,37.5,75,49.991531862108104,23.999661274484325,26,22,-4.6115583161806823e-4,3.339909574986698,5.0000705688117435
7.2,120,80.90169943749474,37.49360388117267,37.5,75,49.99147184156356,23.999658873662543,26,22,-4.5253305900355614e-4,3.3709520565843145,5.000071068997117
7.296,120,81.6339250717184,37.49355979634951,37.5,75,49.99141306179934,23.999656522471973,26,22,-4.440581483178694e-4,3.401462224898128,5.000071558842458
7.392,120,82.35325976284274,37.4935166421116,37.5,75,49.99135552281547,23.999654220912618,26,22,-4.357324379508138e-4,3.431435261724831,5.000072038347761
7.488,120,83.05958991958126,37.493474418458945,37.5,75,49.99129922461192,23.999651968984477,26,22,-4.2755724272999687e-4,3.4608664336850317,5.00007250751302
7.584,120,83.75280400421417,37.49343312539155,37.5,75,49.99124416718873,23.99964976668755,26,22,-4.1953385371317593e-4,3.489751092970795,5.000072966338228
7.68,120,84.4327925502015,37.4933927629094,37.5,75,49.991190350545864,23.999647614021836,26,22,-4.1166353798436484e-4,3.518084678079669,5.000073414823382
7.776,120,85.09944817946918,37.49335333101251,37.5,75,49.991137774683345,23.999645510987335,26,22,-4.0394753845372105e-4,3.545862714535079,5.000073852968475
7.872,120,85.75266561936522,37.49331474731416,37.5,75,49.99108632975221,23.99964345319009,26,22,-3.963870737338271e-4,3.5730808162471583,5.000074281688936
7.968,120,86.39234171928352,37.49327605718513,37.5,75,49.991034742913506,23.99964138971654,26,22,-3.8898333862323663e-4,3.5997346925484166,5.0000747115920685
8.064,120,87.01837546695256,37.493238100576995,37.5,75,49.99098413410266,23.999639365364107,26,22,-3.817375015856603e-4,3.625820127636421,5.000075133344798
8.16,120,87.63066800438637,37.49320086620638,37.5,75,49.99093448827517,23.999637379531006,26,22,-3.7465070691282203e-4,3.651333002186336,5.000075547072496
8.256,120,88.22912264349533,37.493164342789896,37.5,75,49.99088579038653,23.99963543161546,26,22,-3.677240737796551e-4,3.6762692872937723,5.000075952900531
8.352,120,88.81364488135445,37.49312851904415,37.5,75,49.9908380253922,23.99963352101569,26,22,-3.609586960675959e-4,3.7006250451109293,5.0000763509542745
8.448,120,89.38414241512638,37.49309338368577,37.5,75,49.99079117824769,23.999631647129906,26,22,-3.54355642191873e-4,3.7243964294683556,5.0000767413590985
8.544,120,89.9405251566371,37.49305892543135,37.5,75,49.99074523390847,23.99962980935634,26,22,-3.47915954932819e-4,3.7475796864822253,5.000077124240374
8.64,120,90.48270524660195,37.49302513299751,37.5,75,49.99070017733001,23.9996280070932,26,22,-3.4164065127122975e-4,3.7701711551470454,5.0000774997234725
8.736,120,91.01059706849956,37.49299199510087,37.5,75,49.99065599346783,23.999626239738713,26,22,-3.355307222278e-4,3.792167267913686,5.000077867933766
8.832,120,91.52411726209175,37.49295950045804,37.5,75,49.99061266727739,23.999624506691095,26,22,-3.295871327066571e-4,3.813564551252659,5.000078228996625
8.928,120,92.02318473658703,37.49292763778564,37.5,75,49.99057018371419,23.99962280734857,26,22,-3.238108213430224e-4,3.8343596262025406,5.000078583037421
9.024,120,92.5077206834458,37.492896395800265,37.5,75,49.99052852773369,23.999621141109348,26,22,-3.182027003550187e-4,3.8545492089034603,5.000078930181528
9.12,120,92.97764858882513,37.49286576321854,37.5,75,49.99048768429139,23.999619507371655,26,22,-3.1276365539965195e-4,3.8741301111155693,5.000079270554316
9.216,120,93.43289424566119,37.492835728757086,37.5,75,49.990447638342786,23.99961790553371,26,22,-3.074945454329862e-4,3.8930992407224077,5.000079604281158
9.312,120,93.87338576538741,37.492806281132495,37.5,75,49.99040837484333,23.999616334993732,26,22,-3.0239620257453735e-4,3.9114536022190927,5.000079931487427
9.408,120,94.29905358928644,37.49277740906139,37.5,75,49.99036987874852,23.99961479514994,26,22,-2.974694319759045e-4,3.9291902971852384,5.000080252298495
9.504,120,94.70983049947442,37.4927487418617,37.5,75,49.99033165581561,23.999613266232625,26,22,-2.9271501192744404e-4,3.946306527894382,5.00008057083318
9.6,120,95.10565162951535,37.49272039250369,37.5,75,49.99029385667159,23.999611754266862,26,22,-2.881336931773342e-4,3.962799590397817,5.00008088583622
9.696,120,95.4864544746643,37.49269248698719,37.5,75,49.99025664931625,23.99961026597265,26,22,-2.837261991348498e-4,3.9786668790221063,5.0000811959075655
9.792,120,95.85217890173759,37.4926650086164,37.5,75,49.99022001148853,23.99960880045954,26,22,-2.794932258530077e-4,3.993905888161903,5.000081501232731
9.888,120,96.20276715860858,37.492637940695516,37.5,75,49.99018392092736,23.999607356837096,26,22,-2.7543544182437996e-4,4.008514211429462,5.00008180199723
9.984,120,96.53816388332739,37.49261126652875,37.5,75,49.99014835537166,23.999605934214866,26,22,-2.7155348787558873e-4,4.022489542034457,5.000082098386576
10.08,120,96.85831611286311,37.492584969420285,37.5,75,49.99011329256038,23.999604531702417,26,22,-2.678479770661747e-4,4.035829673148053,5.000082390586282
10.176,120,97.16317329146739,37.49255903267434,37.5,75,49.99007871023245,23.9996031484093,26,22,-2.643194945918448e-4,4.048532498251221,5.000082678781863
10.272,120,97.4526872786577,37.492533439595114,37.5,75,49.99004458612682,23.999601783445073,26,22,-2.609685976921249e-4,4.060596011467181,5.000082963158831
10.368,120,97.72681235681935,37.49250817348681,37.5,75,49.990010897982415,23.999600435919298,26,22,-2.577958155624264e-4,4.072018307877964,5.000083243902699
10.464,120,97.98550523842468,37.492483217653614,37.5,75,49.98997762353815,23.999599104941527,26,22,-2.548016492705421e-4,4.082797583825032,5.000083521198984
10.56,120,98.22872507286885,37.49245855539975,37.5,75,49.989944740533,23.99959778962132,26,22,-2.519865716775817e-4,4.092932137193903,5.000083795233197
10.656,120,98.45643345292054,37.4924341700294,37.5,75,49.98991222670586,23.999596489068235,26,22,-2.493510273633665e-4,4.102420367682733,5.000084066190852
10.752,120,98.6685944207868,37.49241004484678,37.5,75,49.9898800597957,23.999595202391827,26,22,-2.468954325562874e-4,4.111260777054831,5.0000843342574655
10.848,120,98.86517447379141,37.492386163156084,37.5,75,49.98984821754144,23.999593928701657,26,22,-2.446201750676402e-4,4.119451969375045,5.00008459961855
10.944,120,99.04614256966512,37.4923625082615,37.5,75,49.989816677682,23.99959266710728,26,22,-2.4252561423045006e-4,4.126992651229999,5.0000848624596195
11.04,120,99.21147013144778,37.492339063467256,37.5,75,49.98978541795634,23.999591416718253,26,22,-2.40612080842792e-4,4.133881631932138,5.00008512296619
11.136,120,99.36113105200084,37.49231581207753,37.5,75,49.989754416103374,23.999590176644134,26,22,-2.3887987711561988e-4,4.140117823707543,5.000085381323775
11.232,120,99.49510169813001,37.492292737396546,37.5,75,49.989723649862064,23.999588945994482,26,22,-2.373292766251067e-4,4.145700241867504,5.000085637717889
11.328,120,99.61336091431725,37.49226982272848,37.5,75,49.98969309697131,23.999587723878854,26,22,-2.3596052426950954e-4,4.150628004963811,5.000085892334045
11.424,120,99.71589002606139,37.49224701649148,37.5,75,49.989662688655315,23.999586507546212,26,22,-2.3477383624876503e-4,4.154900335249844,5.0000861457453984
11.52,120,99.80267284282715,37.49222428777097,37.5,75,49.989632383694634,23.999585295347785,26,22,-2.3376940000116524e-4,4.158516558291257,5.000086398295452
