"time","P_elec","P_in","Q","Q_0","Q_max","SOC","V_cte","der(Q)","i_in","i_out"
3.6,80,45.399049973954675,37.49762204083427,37.5,75,49.99682938777903,24,-4.004739586347839e-4,1.8916270822481114,3.3333333333333335
3.7,80,46.561452032511134,37.49758177874496,37.5,75,49.99677570499328,24,-3.870202311051952e-4,1.9400605013546306,3.3333333333333335
3.8,80,47.71587602596084,37.497542868580226,37.5,75,49.99672382477364,24,-3.7365884229211997e-4,1.9881615010817015,3.3333333333333335
3.9,80,48.86212414969549,37.49750531034007,37.5,75,49.99667374712009,24,-3.6039208160074663e-4,2.0359218395706455,3.3333333333333335
4,80,50,37.497469104024475,37.5,75,49.99662547203263,24,-3.4722222222222234e-4,2.083333333333333,3.3333333333333335
4.1,80,51.129308607705205,37.49743424963347,37.5,75,49.99657899951129,24,-3.341515207441528e-4,2.1303878586543834,3.3333333333333335
4.2,80,52.24985647159488,37.497400747167035,37.5,75,49.99653432955605,24,-3.2118221676394814e-4,2.17707735298312,3.3333333333333335
4.3,80,53.36145159156115,37.49736859662518,37.5,75,49.9964914621669,24,-3.0831653250507936e-4,2.2233938163150477,3.3333333333333335
4.4,80,54.463903501502706,37.49733779800789,37.5,75,49.99645039734386,24,-2.9555667243631137e-4,2.2693293125626126,3.3333333333333335
4.5,80,55.557023301960214,37.497308351315176,37.5,75,49.9964111350869,24,-2.82904822893979e-4,2.314875970915009,3.3333333333333335
4.6,80,56.64062369248328,37.49728025654704,37.5,75,49.99637367539606,24,-2.703631517073695e-4,2.3600259871868032,3.3333333333333335
4.7,80,57.71451900372335,37.49725351370348,37.5,75,49.9963380182713,24,-2.57933807827276e-4,2.40477162515514,3.3333333333333335
4.8,80,58.7785252292473,37.49722812278449,37.5,75,49.99630416371266,24,-2.4561892095778585e-4,2.4491052178853043,3.3333333333333335
4.9,80,59.832460057065894,37.49720408379008,37.5,75,49.99627211172011,24,-2.3342060119136703e-4,2.493019169044412,3.3333333333333335
5,80,60.876142900872054,37.49718019628482,37.5,75,49.9962402617131,24,-2.213409386473142e-4,2.5365059542030024,3.3333333333333335
5.1,80,61.90939493098339,37.497157295491604,37.5,75,49.99620972732214,24,-2.0938200311361818e-4,2.579558122124308,3.3333333333333335
5.2,80,62.93203910498374,37.49713558252612,37.5,75,49.99618077670149,24,-1.9754584369231795e-4,2.622168296040989,3.3333333333333335
5.3,80,63.943900198058465,37.49711505738837,37.5,75,49.99615340985116,24,-1.8583448844839743e-4,2.6643291749191027,3.3333333333333335
5.4,80,64.94480483301837,37.497095720078356,37.5,75,49.99612762677114,24,-1.742499440622875e-4,2.7060335347090985,3.3333333333333335
5.5,80,65.93458151000688,37.49707757059608,37.5,75,49.99610342746145,24,-1.6279419548603148e-4,2.74727422958362,3.3333333333333335
5.6,80,66.91306063588581,37.49706060894154,37.5,75,49.99608081192205,24,-1.514692056031735e-4,2.788044193161909,3.3333333333333335
5.7,80,67.88007455329416,37.49704483511473,37.5,75,49.996059780152976,24,-1.4027691489242866e-4,2.8283364397205903,3.3333333333333335
5.8,80,68.8354575693754,37.497030249115646,37.5,75,49.996040332154195,24,-1.2921924109519226e-4,2.8681440653906414,3.3333333333333335
5.9,80,69.77904598416801,37.497016850944306,37.5,75,49.99602246792574,24,-1.1829807888694439e-4,2.9074602493403336,3.3333333333333335
6,80,70.71067811865476,37.4970046406007,37.5,75,49.9960061874676,24,-1.0751529955260705e-4,2.946278254943948,3.3333333333333335
6.1,80,71.63019434246542,37.49699361808483,37.5,75,49.99599149077977,24,-9.687275066590963e-5,2.984591430936059,3.3333333333333335
6.2,80,72.53743710122875,37.496983783396686,37.5,75,49.99597837786225,24,-8.637225577281552e-5,3.0223932125511976,3.3333333333333335
6.3,80,73.43225094356855,37.496975136536285,37.5,75,49.99596684871504,24,-7.601561407906774e-5,3.0596771226486896,3.3333333333333335
6.4,80,74.31448254773942,37.49696767750361,37.5,75,49.995956903338154,24,-6.580460014190498e-5,3.0964367728224755,3.3333333333333335
6.5,80,75.18398074789772,37.496961406298674,37.5,75,49.995948541731565,24,-5.574096356599864e-5,3.1326658644957384,3.3333333333333335
6.6,80,76.04059656000308,37.49695546920715,37.5,75,49.995940625609535,24,-4.582642870366804e-5,3.16835819,3.3333333333333335
6.7,80,76.88418320734594,37.496949578079736,37.5,75,49.99593277077298,24,-3.606269435942197e-5,3.2035076336394144,3.3333333333333335
6.8,80,77.71459614569707,37.49694465685083,37.5,75,49.99592620913444,24,-2.6451433498876476e-5,3.238108172737378,3.3333333333333335
6.9,80,78.53169308807449,37.49694070552043,37.5,75,49.99592094069391,24,-1.6994292962100803e-5,3.2721538786697706,3.3333333333333335
7,80,79.33533402912352,37.49693772408854,37.5,75,49.995916965451386,24,-7.692893181440791e-6,3.3056389178801466,3.3333333333333335
7.1,80,80.12538126910606,37.49693571255515,37.5,75,49.99591428340687,24,1.4511720961348415e-6,3.338557552879419,3.3333333333333335
7.2,80,80.90169943749474,37.49693467092027,37.5,75,49.995912894560355,24,1.0436336082115064e-5,3.3709041432289477,3.3333333333333335
7.3,80,81.6641555161679,37.49693459918389,37.5,75,49.99591279891185,24,1.926105921490611e-5,3.4026731465069955,3.3333333333333335
7.4,80,82.41261886220155,37.496935497346016,37.5,75,49.995913996461354,24,2.7923829423629107e-5,3.4338591192583983,3.3333333333333335
7.5,80,83.14696123025452,37.49693736540665,37.5,75,49.995916487208866,24,3.6423162387205035e-5,3.4644567179272716,3.3333333333333335
7.6,80,83.86705679454239,37.496940203365796,37.5,75,49.99592027115439,24,4.475760178868502e-5,3.4944606997725995,3.3333333333333335
7.7,80,84.57278217039732,37.496944011223434,37.5,75,49.99592534829791,24,5.292571956478377e-5,3.523865923766555,3.3333333333333335
7.8,80,85.26401643540922,37.49694878897959,37.5,75,49.99593171863945,24,6.092611615056957e-5,3.552667351475384,3.3333333333333335
7.9,80,85.94064115014527,37.49695453663424,37.5,75,49.99593938217899,24,6.875742071927389e-5,3.5808600479227195,3.3333333333333335
8,80,86.60254037844386,37.49696125418741,37.5,75,49.99594833891655,24,7.641829141717429e-5,3.608439182435161,3.3333333333333335
8.1,80,87.2496007072797,37.49696894163908,37.5,75,49.995958588852105,24,8.390741559351501e-5,3.6354000294699875,3.3333333333333335
8.2,80,87.88171126619653,37.49697750337935,37.5,75,49.99597000450579,24,9.122351002542279e-5,3.6617379694248555,3.3333333333333335
8.3,80,88.49876374630418,37.496985831559414,37.5,75,49.99598110874589,24,9.836532113777983e-5,3.687448489429341,3.3333333333333335
8.4,80,89.10065241883677,37.49699490094447,37.5,75,49.995993201259296,24,1.0533162521801821e-4,3.712527184118199,3.3333333333333335
8.5,80,89.68727415326883,37.49700469844014,37.5,75,49.99600626458685,24,1.1212122862579666e-4,3.7369697563862014,3.3333333333333335
8.6,80,90.25852843498605,37.49701521095205,37.5,75,49.9960202812694,24,1.1873296799752365e-4,3.7607720181244186,3.3333333333333335
8.7,80,90.81431738250811,37.49702642538578,37.5,75,49.996035233847714,24,1.2516571044569565e-4,3.783929890937838,3.3333333333333335
8.8,80,91.35454576426008,37.497038328646966,37.5,75,49.99605110486262,24,1.3141835375301016e-4,3.80643940684417,3.3333333333333335
8.9,80,91.87912101488982,37.4970509076412,37.5,75,49.99606787685494,24,1.3748982656122468e-4,3.8282967089537423,3.3333333333333335
9,80,92.38795325112868,37.49706414927412,37.5,75,49.996085532365484,24,1.4337908855473e-4,3.8494980521303614,3.3333333333333335
9.1,80,92.8809552871924,37.4970780404513,37.5,75,49.99610405393506,24,1.490851306388009e-4,3.870039803633017,3.3333333333333335
